Watershed_ID;Source;Name;Official_ID;Centroid_Lat_deg_N;Centroid_Lon_deg_E;Drainage_Area_km2;Drainage_Area_GSIM_km2;Flag_GSIM_boundaries;Flag_Artificial_Boundaries;Elevation_m;Slope_deg;Gravelius;Perimeter;Flag_Shape_Extraction;Aspect_deg;Flag_Terrain_Extraction;Land_Use_Forest_frac;Land_Use_Grass_frac;Land_Use_Wetland_frac;Land_Use_Water_frac;Land_Use_Urban_frac;Land_Use_Shrubs_frac;Land_Use_Crops_frac;Land_Use_Snow_Ice_frac;Flag_Land_Use_Extraction;Permeability_logk_m2;Porosity_frac;Flag_Subsoil_Extraction
1;HYDAT;SAINT JOHN RIVER AT FORT KENT;01AD002;47.25806;-68.59583;14703.9211;NaN;0;0;362.3;3.5329;2.7834;1194.505;1;130.4023;1;0.7869;0.0147;0.0645;0.0258;0.0089;0.0749;0.0242;0;1;-14.7193269260765;0.180905196519915;1
2;HYDAT;ST. FRANCIS RIVER AT OUTLET OF GLASIER LAKE;01AD003;47.20661;-68.95694;1358.6435;NaN;0;0;353.4;4.6633;2.0656;269.164;1;91.7329;1;0.8452;0.0102;0.0228;0.0219;0.0174;0.041;0.0414;0;1;-14.056490802378;0.206450307163699;1
3;HYDAT;MADAWASKA (RIVIERE) A 6 KM EN AVAL DU BARRAGE TEMISCOUATA;01AD015;47.5385;-68.5918;2712;2693.814;1;0;293.3;4.469;2.062;381.994;1;223.951;1;0.8207;0.0093;0.0032;0.0487;0.023;0.0351;0.06;0;1;-14.5373903707308;0.165356874045646;1
4;HYDAT;FISH RIVER NEAR FORT KENT;01AE001;47.2375;-68.58278;2245.7638;NaN;0;0;276.5;4.1819;2.4682;413.839;1;120.74;1;0.6837;0.0226;0.1024;0.063;0.0115;0.0641;0.0528;0;1;-14.6878692104879;0.170597199387675;1
5;HYDAT;BLACK BROOK NEAR ST-ANDRE-DE-MADAWASKA;01AF006;47.09139;-67.73139;14.2;NaN;0;1;201.8;2.8061;NaN;NaN;0;56.8902;1;0;0;0;0;0;0;1;0;1;NaN;NaN;0
6;HYDAT;GRANDE RIVIERE AT VIOLETTE BRIDGE;01AF007;47.24697;-67.92128;328.4387;NaN;0;0;266.7;3.1618;2.4173;154.916;1;208.9651;1;0.7936;0.0694;0.0737;0.002;0.0122;0.0353;0.0138;0;1;-13.5251585595452;0.125961943161349;1
7;HYDAT;IROQUOIS RIVER AT MOULIN MORNEAULT;01AF009;47.45783;-68.35683;184.1086;NaN;0;0;336.5;5.9008;1.6503;79.153;1;184.6077;1;0.9107;0.0118;0.0013;0.0021;0.0179;0.0448;0.0116;0;1;-15.1999998092651;0.189999997615814;1
8;HYDAT;MAMOZEKEL RIVER NEAR CAMPBELL RIVER;01AH005;47.25083;-67.14222;230;223.604;1;0;339.3;5.9632;1.6687;88.559;1;224.0896;1;0.822;0.1152;0.0023;0.0001;0.0079;0.0526;0;0;1;-12.2858044747675;0.080820191346038;1
9;HYDAT;MEDUXNEKEAG RIVER NEAR BELLEVILLE;01AJ003;46.21622;-67.72794;1206.8273;NaN;0;0;182.5;2.1286;2.0087;247.274;1;99.779;1;0.5851;0.0119;0.157;0.0087;0.0382;0.0496;0.1495;0;1;-14.2634548250012;0.103642771625727;1
10;HYDAT;BIG PRESQUE ISLE STREAM AT TRACEY MILLS;01AJ004;46.43836;-67.73844;487.5935;NaN;0;0;185.3;2.4437;2.0068;156.926;1;113.3444;1;0.4145;0.0089;0.1656;0.0039;0.0493;0.0217;0.3362;0;1;-12.4044477744629;0.082424676326375;1
11;HYDAT;HOLMES BROOK AT MOOSE MOUNTAIN;01AJ006;46.61278;-67.61056;7.77;NaN;0;1;223.8;4.4019;NaN;NaN;0;163.8485;1;0;0;0;0;0;0;1;0;1;NaN;NaN;0
12;HYDAT;HOLMES BROOK NEAR HOLMESVILLE;01AJ007;46.57611;-67.59528;31.3;NaN;0;1;168.6;2.848;NaN;NaN;0;203.8809;1;0.25;0.75;0;0;0;0;0;0;1;NaN;NaN;0
13;HYDAT;BECAGUIMEC STREAM AT COLDSTREAM;01AJ010;46.34089;-67.46511;343.5156;NaN;0;0;231.7;4.2668;1.6341;107.298;1;198.6796;1;0.8255;0.0616;0.0151;0.004;0.0152;0.031;0.0476;0;1;-14.2367347639434;0.101061223945295;1
14;HYDAT;COLD STREAM AT COLDSTREAM;01AJ011;46.34222;-67.46917;156;155.5894;1;0;228.1;4.118;1.4156;62.719;1;185.0623;1;0.5973;0.0844;0.0052;0.0003;0.0297;0.0297;0.2534;0;1;-11.8126698705406;0.060542985173237;1
15;HYDAT;SHOGOMOC STREAM NEAR TRANS CANADA HIGHWAY;01AK001;45.94353;-67.32036;233.9935;NaN;0;0;169.2;3.0621;1.992;108.052;1;86.6559;1;0.8081;0.0588;0.0318;0.0466;0.0071;0.0362;0.0114;0;1;-14.0303034059929;0.011515151257768;1
16;HYDAT;MIDDLE BRANCH NASHWAAKSIS STREAM NEAR ROYAL ROAD;01AK005;46.035;-66.70139;26.9;NaN;0;1;102.6;3.3251;NaN;NaN;0;111.8135;1;1;0;0;0;0;0;0;0;1;NaN;NaN;0
17;HYDAT;MIDDLE BRANCH NASHWAAKSIS STREAM AT SANDWITH'S FARM;01AK006;46.08281;-66.73303;5.1103;NaN;0;0;209.3;1.6163;1.6523;13.244;1;146.281;1;0.7083;0.0085;0.0168;0.0096;0.0585;0.068;0.1304;0;1;-15.1999998092651;0.189999997615814;1
18;HYDAT;NACKAWIC STREAM NEAR TEMPERANCE VALE;01AK007;46.04878;-67.23961;246.3081;NaN;0;0;176.1;2.398;1.5364;85.451;1;112.1874;1;0.853;0.0295;0.0197;0.0042;0.0147;0.0308;0.0481;0;1;-12.6968300541815;0.080806917583393;1
19;HYDAT;NASHWAAK RIVER AT DURHAM BRIDGE;01AL002;46.12592;-66.61131;1455.5495;NaN;0;0;228.5;2.9697;1.8775;253.774;1;119.5764;1;0.8529;0.0359;0.0154;0.0048;0.0137;0.0422;0.0352;0;1;-15.0071079612591;0.166923074934091;1
